mmdd,prophecy,data_notes,style
06-12,The roads will bear witness to their own exhaustion and yet the cold will come and go uncontested. Heed it.,"• Number of street condition complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
06-13,"The law has a very full calendar and somehow the water gasps, quietly, in the deep.","• Number of NYPD arrests: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
06-13,"When the time comes, teeth shall find their mark before the day ends and yet the walls shall hold their peace.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
06-14,"Be advised: the boats are busy crossing things while the reservoirs run cold, as if to make a point.","• Number of NYC Ferry boardings: High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",irreverent
06-14,"Before it ends, many will take to the water while the deep water will offer no warmth today.","• Number of NYC Ferry boardings: High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",poetic
06-15,"Be advised: every dog has a grievance and the nerve to file it and yet something has been cleaned up, for now.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of unsanitary condition complaints to 311: Very Low",irreverent
06-15,"In the hours ahead, teeth shall find their mark before the day ends even as what gathers in shadows shall remain there today.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of unsanitary condition complaints to 311: Very Low",poetic
06-16,The streets open their throats and do not close them meanwhile heat arrives in name only.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
06-16,"On this day, the air shall fill with voices too numerous to name as what gathers in shadows shall remain there today. Let this be known.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of unsanitary condition complaints to 311: Very Low",poetic
06-17,"The block erupts without apology and somehow the reservoir runs clear, suspiciously so. Plan around it.","• Number of street and sidewalk noise complaints to 311: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low",irreverent
06-17,"Before it ends, the boats will bear the weight of a city in motion while the water will run clear and transparent. So it shall be.","• Number of NYC Ferry boardings: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low",poetic
06-18,Know this: teeth find purpose today meanwhile the pH is suspiciously neutral. Proceed accordingly.,"• Number of dog bite incidents reported to DOHMH: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low",irreverent
06-18,"Before it ends, something feral shall break through the ordinary while the reservoir shall hold a perfect, quiet balance. Heed it.","• Number of dog bite incidents reported to DOHMH: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low",poetic
06-19,"The block erupts without apology, the harbor is overwhelmed with purpose. Take note.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYC Ferry boardings: Very High",irreverent
06-19,"The city will not keep its counsel today, many shall cross the harbor before day's end. Heed it.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYC Ferry boardings: Very High",poetic
06-20,Mark it: someone is definitely getting caught though the nitrogen is quiet today.,"• Number of NYPD arrests: Very High
• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
06-20,"Before it ends, the long arm will reach further than expected today yet the water will run clear and transparent. Let this be known.","• Number of NYPD arrests: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low",poetic
06-21,Mark it: the block erupts without apology meanwhile the pH is suspiciously neutral.,"• Number of street and sidewalk noise complaints to 311: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low",irreverent
06-21,"On this day, what is felt will be spoken aloud, loudly and still the water will run clear and transparent. So it shall be.","• Number of street and sidewalk noise complaints to 311: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low",poetic
06-22,"The city sings off-key and at full volume, the boats carry multitudes and ask no questions.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYC Ferry boardings: Very High",irreverent
06-22,"When the time comes, the streets will overflow with sound and signal, the boats will bear the weight of a city in motion.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYC Ferry boardings: Very High",poetic
06-23,"Today, the city sings off-key and at full volume, the boats carry multitudes and ask no questions. You have been warned.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYC Ferry boardings: Very High",irreverent
06-23,"In the hours ahead, the city will not keep its counsel today, the boats will bear the weight of a city in motion. So it shall be.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYC Ferry boardings: Very High",poetic
06-24,"Know this: the gutters have given up all pretense, the shelter system strains against itself. Take note.","• Number of unsanitary condition complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High",irreverent
06-24,"That which festers will rise to the surface, many will arrive at the threshold of need. Heed it.","• Number of unsanitary condition complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High",poetic
06-25,"On this day, the waiting rooms fill at the same time the reservoir runs lean and says little.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
06-25,"On this day, many will arrive at the threshold of need as the water will carry nothing extra today. So it shall be.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very Low",poetic
06-26,"Today, the shelter system strains against itself, something accumulates in corners without shame.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of unsanitary condition complaints to 311: Very High",irreverent
06-26,"The shelter of last resort will be sought by many, the city will wear its wounds openly. Let this be known.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of unsanitary condition complaints to 311: Very High",poetic
06-27,"Today, the boats carry multitudes and ask no questions though the streets are in a mood. Proceed accordingly.","• Number of NYC Ferry boardings: Very High
• Number of street condition complaints to 311: High",irreverent
