prophecy_index,mmdd,prophecy,data_notes
456,05-31,Teeth will come from trusted places. And beyond that: the seeking will be common.,Number of dog bite incidents reported to DOHMH: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): High
457,06-01,"Rot will be on its best behavior, even while fire will have forgotten its purpose entirely.",Number of heat/hot water complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very Low
458,06-01,"First the unclean will clean itself, briefly; then silence will be hunted down and eliminated.",Number of unsanitary condition complaints to 311: Very Low | Number of noise (street/sidewalk) complaints to 311: Very High
459,06-01,What comes: the air will thicken with voices that will not be hushed. What follows: departure will be popular.,Number of noise (street/sidewalk) complaints to 311: Very High | Number of NYC Ferry boardings: Very High
460,06-02,It will be a time when all warmth will drain out before it can be claimed — and when the hidden population will thin considerably.,Number of heat/hot water complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Very Low
461,06-02,First the hidden multitude will disperse without fanfare; then the world will speak over itself without pause.,Number of rodent inspections conducted by NYC: Very Low | Number of noise (street/sidewalk) complaints to 311: Very High
462,06-02,What comes: the air will thicken with voices that will not be hushed. What follows: the crossing will see a great traffic of the seeking.,Number of noise (street/sidewalk) complaints to 311: Very High | Number of NYC Ferry boardings: Very High
463,06-03,"The signs agree: the unhoused will be populous, and the road will speak through its fractures.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of street condition complaints to 311: Very High
464,06-03,What comes: the earth will not be smooth for those who walk it. What follows: warmth will have seeped to great depth.,Number of street condition complaints to 311: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
465,06-03,"As something warm stirs in places where warmth was not invited, so too what nourishes the hidden will be lavish.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
466,06-04,"Mark it well: the seeking will be common, even as the earth will not be smooth for those who walk it.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of street condition complaints to 311: Very High
467,06-04,"As what lies just beneath the surface will make itself known, so too restraint will be generously applied.",Number of street condition complaints to 311: Very High | Number of NYPD arrests: Very High
468,06-04,The bound will outnumber the free. And beyond that: loyalty will keep its teeth to itself.,Number of NYPD arrests: Very High | Number of dog bite incidents reported to DOHMH: Very Low
469,06-05,It will be a time when the rootless will be in great numbers — and when the road will be honest about its grievances.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of street condition complaints to 311: Very High
470,06-05,"The ground itself will rebel, and yet things that were buried will resurface.",Number of street condition complaints to 311: Very High | Number of unsanitary condition complaints to 311: Very High
471,06-05,"The signs agree: rot will have its season, and fire will hold its tongue.",Number of unsanitary condition complaints to 311: Very High | Number of heat/hot water complaints to 311: Low
472,06-06,"The signs agree: those without shelter will crowd the hours, and fire will have forgotten its purpose entirely.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of heat/hot water complaints to 311: Very Low
473,06-06,"The signs agree: all warmth will drain out before it can be claimed, and the earth will not be smooth for those who walk it.",Number of heat/hot water complaints to 311: Very Low | Number of street condition complaints to 311: Very High
474,06-06,First the road will speak through its fractures; then the hidden multitude will be vast.,Number of street condition complaints to 311: Very High | Number of rodent inspections conducted by NYC: Very High
475,06-07,"Where cold will rule from within the very walls that should shelter, there too sound will swell until the walls lean inward.",Number of heat/hot water complaints to 311: Very Low | Number of noise (street/sidewalk) complaints to 311: Very High
476,06-07,First the streets will cry out in a hundred voices at once; then what nourishes the hidden will be lavish.,Number of noise (street/sidewalk) complaints to 311: Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
477,06-07,What comes: the unseen feast will be well-provisioned. What follows: those who seek the other shore will find considerable company.,Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High | Number of NYC Ferry boardings: Very High
478,06-08,"As cold will rule from within the very walls that should shelter, so too the underneath will hold its silence.",Number of heat/hot water complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very Low
479,06-08,"Where decay will remain underground where it belongs, there too the streets will cry out in a hundred voices at once.",Number of unsanitary condition complaints to 311: Very Low | Number of noise (street/sidewalk) complaints to 311: Very High
480,06-08,"The water will remember every passage it was made to carry, even while the air will thicken with voices that will not be hushed.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of NYC Ferry boardings: Very High
